no;restaurant_name;city;district;place;unique_menu;price;google_rating;google_count;platform_rating;platform_count;specialized;beef;chicken;seafood;appetizer;other_dish;dessert;drinks;other_poultry;takeaway;delivery;outdoor;smoking_area;alcohol_served;wifi;reservation;other
92;Meat Me Cafe & Butchery;West Jakarta;Kota;Owned place;Angus Sirloin 150gr + Chicken Steak;115000; 4.3 ;159; 3.6 ;65;Local Westerned;sirloin, tenderloin, rib eye, brisket;parmigiana;fish and chips, salmon;salad, nachos, fries, soup, pasta;fried rice, rice bowl, rice plate etc;no;juice, latte, mineral water, coffee, tea;seafood, duck;yes;no;no;no;beer;yes;yes;no
93;Holycow! Puri Indah;West Jakarta;Puri Indah;Lippo Mall Puri St. Moritz;Tokusen Wagyu Rib Eye;139000; 4.4 ;125; 4.0 ;283;Local Westerned;sirloin, tenderloin, rib eye, wagyu etc;steak;platters;fries;pasta;ice cream, cake, sweet drinks;sweet drinks, milo, non-alcohol beer, soft drink, mineral water;seafood;yes;no;no;no;no;yes;no;breakfast, kids friendly
94;Fiesta Steak;West Jakarta;Tanjung Duren;Mall Taman Anggrek;Jujuyaki Steak;52727; 3.5 ;22; 3.4 ;75;Local;sirloin, tenderloin, rib eye, wagyu;steak, grilled, fried;salmon;soup, pasta, salad, chicken pop;fish and chips, salmon, fries, rice plate;no;mineral water, soft drink, coffee, orange juice, milo, tea;seafood;no;no;no;no;no;no;yes;no
95;Warung Steak 76;West Jakarta;Palmerah;Owned place;Steak Combo Jumbo Keju Mayonaise;35000; 4.4 ;404; 3.5 ;95;Local;sirloin, tenderloin, grounded;steak, cordon bleu;dory;no;sausage, seafood, rice plate, kway teow etc;no;juice, soft drink, coffee, tea, mineral water;seafood;yes;no;no;no;no;no;no;no
96;American Grill;West Jakarta;Roxy;Owned place;Filet Amignon & Malibu Chicken;325000; 3.5 ;83; 2.7 ;23;Western;ribs, rib eye, striploin, sirloin etc;yes, various chicken steak;calamari, salmon, platters;no;seafood steaks, fries etc;no;beer, wine, coffee, smooties, soft drink, mineral water, tea;seafood;yes;no;no;no;wine, beer;yes;yes;breakfast
97;Wb. Steak;West Jakarta;Daan Mogot;Mall Matahari;WB Steak Tokusen Rib Eye 160gr;95000; 4.3 ;146; 3.8 ;54;Local;sirloin, tenderloin, rib eye;steak, grilled, cordon bleu;dory, salmon;garlic bread, fries, pasta;rice plate, fried rice;ice cream;lemon, orange, juice, coffee, tea;seafood;yes;no;no;no;no;yes;yes;no
98;D'Core;West Jakarta;Slipi;Menara Citicon;Norwegian Salmon Steak;140000; 4.3 ;38; 3.1 ;4;Local Westerned;sirloin, tenderloin, ribs;barbeque, cordon bleu;fish and chips;soup, salad, fries;omelette, noodle, rice plate, fried rice;toast, banana, sweet drinks;frappe, smooties, coffee, milkshakes;seafood;yes;no;no;no;no;yes;yes;no
99;Maison Tatsuya;West Jakarta;Tanjung Duren;Central Park;Tatsuya Course;458000; 4.5 ;308; 4.3 ;208;Japanese;sirloin, tenderloin, rib eye, wagyu;grilled;salmon, cuttle fish, prawn;fried rice, miso soup;no;ice cream;beer, mocktail, juice, mineral water, soft drink, ocha, tea;seafood, vegetables, tofu;yes;no;no;no;beer;no;yes;teppanyaki
100;Abuba Steak;West Jakarta;Cengkareng;Ruko Citra Garden 6;Salmon Steak;98000; 4.3 ;1137; 4.1 ;266;Local Westerned;sirloin, tenderloin, rib eye, wagyu, t-bone;steak;salmon, gindara, dory;fries, pasta, salad;no;ice cream, pudding, cake;milkshakes, juice, mocktail, tea, soft drink, chocolate, mineral water;seafood, lamb;yes;yes;no;no;no;no;no;no
101;Tamani Cafe;West Jakarta;Cengkareng;Ciffest;Wagyu Minute Steak;124000; 4.4 ;605; 3.5 ;42;Local Westerned;sirloin, tenderloin, wagyu;steak, crispy, picatta, cordon bleu, mushroom;salmon, dory, prawn, fish and chips;soup, salad, fries;rice plate, fried rice, steamed rice, noodle etc;ice cream, cake, es doger, pudding, sweet drinks;frappe, chocolate, coffee, tea;seafood;yes;yes;no;yes;no;yes;yes;no
